18, 3, 100.0, 3596.0, 6384.6, 8169.0
18, 4, 100.0, 3993.0, 8322.6, 9802.0
18, 5, 100.0, 4851.0, 8704.2, 11098.0
18, 6, 100.0, 6718.0, 11305.8, 13594.0
18, 7, 100.0, 12956.0, 13534.2, 15063.0
18, 8, 100.0, 10259.0, 15181.0, 17983.0
18, 9, 100.0, 15265.0, 17255.6, 18881.0
18, 10, 100.0, 17644.0, 21445.8, 23763.0
18, 11, 100.0, 15092.0, 23513.2, 28973.0
18, 12, 100.0, 17516.0, 25290.4, 32036.0
19, 3, 100.0, 4465.0, 7276.8, 9216.0
19, 4, 100.0, 5365.0, 9073.8, 11086.0
19, 5, 100.0, 6724.0, 10889.4, 13933.0
19, 6, 100.0, 8731.0, 13145.0, 15817.0
19, 7, 100.0, 8087.0, 13878.8, 16869.0
19, 8, 100.0, 11085.0, 17105.4, 19765.0
19, 9, 100.0, 16170.0, 20610.8, 23790.0
19, 10, 100.0, 17669.0, 20830.0, 25518.0
19, 11, 100.0, 21062.0, 25267.4, 27960.0
19, 12, 100.0, 25279.0, 29230.0, 32505.0
20, 3, 100.0, 8771.0, 10003.6, 11890.0
20, 4, 100.0, 5830.0, 10279.6, 11823.0
20, 5, 100.0, 9379.0, 12553.6, 14888.0
20, 6, 100.0, 14062.0, 15906.4, 17199.0
20, 7, 100.0, 11926.0, 15344.2, 19359.0
20, 8, 100.0, 18103.0, 20882.8, 23020.0
20, 9, 100.0, 15238.0, 20956.8, 24348.0
20, 10, 100.0, 21406.0, 27065.8, 31642.0
